Cities,City Latitude,City Longitude,Max Temperature,Humidity,Cloud Coverage,Wind Speed,City Country,City datetime
new norfolk,-42.78,147.06,54.0,79,100,2.44,AU,1595564794
saint george,37.1,-113.58,82.0,36,1,10.29,US,1595565203
torbay,47.67,-52.73,62.01,100,90,14.99,CA,1595564797
derzhavinsk,51.1,66.32,75.06,50,99,13.85,KZ,1595565231
kaitangata,-46.28,169.85,46.99,57,100,13.0,NZ,1595564858
zhangye,38.93,100.45,66.7,65,100,8.08,CN,1595565231
busselton,-33.65,115.33,63.0,52,34,9.66,AU,1595565368
springfield,37.22,-93.3,80.6,74,1,9.17,US,1595565003
port alfred,-33.59,26.89,61.65,33,0,8.41,ZA,1595564799
cape town,-33.93,18.42,59.0,54,0,10.29,ZA,1595564788
punta arenas,-53.15,-70.92,39.2,80,100,17.22,CL,1595564646
tuktoyaktuk,69.45,-133.04,60.8,51,20,13.87,CA,1595565369
ushuaia,-54.8,-68.3,39.2,80,90,20.8,AR,1595564770
khandyga,62.67,135.6,85.87,31,1,1.54,RU,1595565233
rocha,-34.48,-54.33,59.72,96,96,4.79,UY,1595564874
rikitea,-23.12,-134.97,67.26,59,35,14.07,PF,1595565370
mount isa,-20.73,139.5,78.8,27,0,8.05,AU,1595564881
yellowknife,62.46,-114.35,55.4,93,75,14.99,CA,1595564736
sorland,67.67,12.69,52.29,90,100,25.88,NO,1595564866
praia,14.92,-23.51,78.8,83,75,4.7,CV,1595565235
avigliano,40.73,15.72,65.16,62,0,4.43,IT,1595565235
gazanjyk,39.24,55.52,89.85,35,5,2.24,TM,1595565235
hobbs,32.7,-103.14,80.6,51,20,17.22,US,1595565169
kruisfontein,-34.0,24.73,62.92,27,0,11.1,ZA,1595564791
isangel,-19.55,169.27,84.2,70,40,11.41,VU,1595564801
mataura,-46.19,168.86,42.66,76,95,6.17,NZ,1595565372
vaini,-21.2,-175.2,73.4,88,40,11.41,TO,1595565372
chanute,37.68,-95.46,80.6,74,1,4.7,US,1595565236
troitskoye,52.98,84.68,71.06,62,55,6.98,RU,1595565073
kansanshi,-12.1,26.43,41.38,91,0,4.88,ZM,1595565236
puerto ayora,-0.74,-90.35,66.99,98,87,5.99,EC,1595565373
avarua,-21.21,-159.78,73.4,94,6,2.24,CK,1595564674
pevek,69.7,170.31,50.02,68,70,6.98,RU,1595565373
hobart,-42.88,147.33,55.0,57,40,13.87,AU,1595565374
jamestown,42.1,-79.24,70.0,88,75,3.36,US,1595564783
gladstone,-23.85,151.25,73.4,53,75,11.41,AU,1595564661
hilo,19.73,-155.09,82.4,65,20,5.82,US,1595564817
qaanaaq,77.48,-69.36,43.16,63,0,0.89,GL,1595564785
albany,42.6,-73.97,72.0,99,65,4.21,US,1595565375
kaduy,59.2,37.15,53.6,93,20,2.24,RU,1595565238
crotone,39.09,17.12,79.05,59,0,1.99,IT,1595565239
tocopilla,-22.09,-70.2,53.83,64,2,5.12,CL,1595564810
souillac,-20.52,57.52,68.0,60,40,18.34,MU,1595564804
ilulissat,69.22,-51.1,51.8,62,100,2.24,GL,1595564796
puerto escondido,15.85,-97.07,80.62,77,74,2.59,MX,1595565376
moron,-34.65,-58.62,50.0,91,100,7.0,AR,1595564834
airai,-8.93,125.41,72.55,40,45,4.63,TL,1595564812
peniche,39.36,-9.38,63.0,88,0,8.01,PT,1595564874
izhma,65.01,53.91,71.62,36,0,5.66,RU,1595565240
severo-kurilsk,50.68,156.12,51.75,83,100,4.16,RU,1595564805
ulladulla,-35.35,150.47,66.2,45,20,6.93,AU,1595565241
praia da vitoria,38.73,-27.07,66.2,100,20,3.83,PT,1595565241
marsh harbour,26.54,-77.06,82.6,78,0,16.87,BS,1595564783
garowe,8.41,48.48,75.83,55,50,29.42,SO,1595565241
lysyye gory,51.55,44.84,62.73,68,61,5.3,RU,1595565242
stephenville,32.22,-98.2,84.2,58,1,8.05,US,1595565242
baykit,61.67,96.37,59.49,65,100,6.6,RU,1595565125
hermanus,-34.42,19.23,62.87,40,0,8.77,ZA,1595565379
montepuez,-13.13,39.0,61.97,77,68,10.25,MZ,1595565243
sibolga,1.74,98.78,86.45,56,97,5.59,ID,1595565379
bluff,-46.6,168.33,47.62,69,99,26.02,NZ,1595565379
hithadhoo,-0.6,73.08,83.14,72,77,10.6,MV,1595564814
tirlyanskiy,54.21,58.58,59.13,92,100,6.08,RU,1595565244
ahipara,-35.17,173.17,57.61,67,41,10.04,NZ,1595564813
sao filipe,14.9,-24.5,76.42,85,87,10.22,CV,1595564816
lubyany,56.04,51.4,60.8,93,75,13.42,RU,1595565244
misratah,32.38,15.09,77.25,74,0,6.53,LY,1595565245
kefamenanu,-9.45,124.48,81.07,41,41,9.4,ID,1595565245
namibe,-15.2,12.15,66.16,65,0,5.19,AO,1595564809
sao joao da barra,-21.64,-41.05,70.3,80,0,10.65,BR,1595564739
zhob,31.34,69.45,85.41,40,0,1.95,PK,1595565246
barrow,71.29,-156.79,39.2,86,90,8.05,US,1595564774
along,28.17,94.77,75.83,90,100,1.41,IN,1595565246
bull savanna,17.89,-77.59,77.07,85,99,6.78,JM,1595565246
zelenoborsk,61.47,64.03,68.67,42,66,4.54,RU,1595565247
ribeira grande,38.52,-28.7,69.1,71,13,5.7,PT,1595564798
tashla,51.77,52.74,70.34,64,0,12.55,RU,1595565247
geraldton,-28.77,114.6,64.4,59,0,13.87,AU,1595565050
pingliang,35.54,106.69,65.68,89,100,5.5,CN,1595565247
avera,33.19,-82.53,75.2,70,1,6.85,US,1595564883
carnarvon,-24.87,113.63,77.0,36,0,9.17,AU,1595564786
khorixas,-20.37,14.97,54.48,37,0,13.47,NA,1595565248
nikolskoye,59.7,30.79,53.01,76,20,4.47,RU,1595564789
nanortalik,60.14,-45.24,44.65,93,100,7.83,GL,1595564785
astana,51.18,71.45,77.0,57,0,13.42,KZ,1595565201
hovd,48.01,91.64,74.25,34,86,4.12,MN,1595565249
mahebourg,-20.41,57.7,68.0,60,40,18.34,MU,1595564858
katobu,-4.94,122.53,84.18,59,79,4.85,ID,1595565249
palmer,42.16,-72.33,71.01,95,91,2.01,US,1595565249
chuy,-33.7,-53.46,64.67,95,86,6.89,UY,1595564848
talnakh,69.49,88.4,51.8,71,31,26.84,RU,1595564795
bethel,41.37,-73.41,70.0,94,1,3.36,US,1595564786
cherskiy,68.75,161.3,71.62,57,0,13.58,RU,1595565386
pahrump,36.21,-115.98,81.0,8,0,2.68,US,1595565250
narrabri,-30.32,149.78,70.0,32,0,6.93,AU,1595565251
naryan-mar,67.67,53.09,70.16,56,1,9.15,RU,1595565251
norman wells,65.28,-126.83,60.8,63,40,10.29,CA,1595564791
salinopolis,-0.61,-47.36,78.31,82,45,9.95,BR,1595565251
castro,-24.79,-50.01,55.26,77,4,2.71,BR,1595564802
polson,47.69,-114.16,69.01,45,33,3.65,US,1595565252
esperance,-33.87,121.9,60.8,63,75,9.17,AU,1595564800
thompson,55.74,-97.86,75.2,73,20,5.82,CA,1595564615
narsaq,60.92,-46.05,51.8,76,100,3.36,GL,1595564829
port lincoln,-34.73,135.87,60.17,53,88,16.06,AU,1595564854
chapais,49.78,-74.85,59.0,82,1,4.7,CA,1595564879
east london,-33.02,27.91,55.4,37,0,9.17,ZA,1595565388
kushmurun,52.45,64.63,65.59,78,100,13.98,KZ,1595564851
san policarpo,12.18,125.51,86.14,66,100,6.44,PH,1595565254
daltenganj,24.03,84.07,84.36,66,100,1.41,IN,1595565254
nemuro,43.32,145.57,66.2,88,75,5.82,JP,1595565254
pitea,65.32,21.48,55.4,87,99,8.05,SE,1595565254
bambous virieux,-20.34,57.76,70.0,60,40,18.34,MU,1595565390
tiksi,71.69,128.87,68.38,50,17,12.91,RU,1595564646
camacha,33.08,-16.33,68.0,82,40,12.75,PT,1595565390
longyearbyen,78.22,15.64,48.2,81,75,11.41,SJ,1595564836
fortuna,40.6,-124.16,57.0,87,90,9.17,US,1595565390
celestun,20.87,-90.4,80.37,83,71,10.02,MX,1595565256
iberia,29.95,-91.75,80.6,88,20,9.17,US,1595565256
durango,24.83,-104.83,63.72,78,84,9.64,MX,1595564994
lebu,-37.62,-73.65,43.59,74,0,5.3,CL,1595564812
matara,5.95,80.54,76.98,86,100,8.03,LK,1595565257
saint-philippe,-21.36,55.77,68.0,60,90,28.86,RE,1595565392
arraial do cabo,-22.97,-42.03,68.0,88,3,5.82,BR,1595565392
leningradskiy,69.38,178.42,44.42,74,88,11.68,RU,1595564859
cabo san lucas,22.89,-109.91,84.99,57,2,12.73,MX,1595564797
fairbanks,64.84,-147.72,64.4,52,1,5.82,US,1595565393
los andes,-32.83,-70.6,41.0,86,47,4.7,CL,1595565258
constitucion,-35.33,-72.42,46.13,80,0,3.27,CL,1595565264
lagoa,39.05,-27.98,68.74,77,1,6.6,PT,1595564878
kargasok,59.06,80.86,66.51,54,0,7.9,RU,1595564844
alice springs,-23.7,133.88,75.0,19,0,6.93,AU,1595565318
butaritari,3.07,172.79,83.3,76,1,14.18,KI,1595565394
novo aripuana,-5.12,-60.38,76.95,75,83,1.61,BR,1595565259
vernon,50.26,-119.27,71.6,33,1,14.99,CA,1595565259
lac du bonnet,50.25,-96.06,71.01,99,26,5.01,CA,1595564864
victoria,22.29,114.16,93.0,55,20,10.29,HK,1595564732
kodiak,57.79,-152.41,60.8,63,90,3.36,US,1595564639
bonthe,7.53,-12.51,75.67,89,100,10.4,SL,1595564852
altamira,-3.2,-52.21,72.45,76,89,2.17,BR,1595565261
takoradi,4.88,-1.76,73.04,92,89,5.37,GH,1595565261
safaga,26.73,33.94,86.0,55,0,5.82,EG,1595565261
komsomolskiy,40.43,71.72,82.4,34,76,11.41,UZ,1595564870
alexandria,31.22,29.96,77.0,83,0,9.17,EG,1595564728
bredasdorp,-34.53,20.04,48.2,93,0,8.05,ZA,1595565396
san quintin,30.48,-115.95,64.76,83,0,10.87,MX,1595565262
yaan,7.38,8.57,70.59,98,60,4.97,NG,1595564798
limbang,4.75,115.0,84.2,74,75,6.93,MY,1595565262
jacareacanga,-6.22,-57.75,75.22,71,92,1.23,BR,1595565263
yichang,30.71,111.28,75.0,90,100,1.99,CN,1595565263
outram,1.28,103.84,86.0,74,40,5.82,MY,1595565263
bilibino,68.05,166.44,82.51,39,62,12.55,RU,1595564859
taoudenni,22.68,-3.98,92.7,14,0,2.8,ML,1595564893
vizinga,61.07,50.1,63.34,85,100,8.14,RU,1595565264
havelock,34.88,-76.9,84.99,86,56,1.99,US,1595564537
sangmelima,2.93,11.98,63.9,99,99,2.24,CM,1595565264
mahanoro,-19.9,48.8,66.69,79,81,10.07,MG,1595565264
pafos,34.77,32.42,75.2,41,0,9.17,CY,1595565016
sonoita,31.85,-112.83,86.0,49,0,4.0,MX,1595565265
waingapu,-9.66,120.26,82.71,48,41,17.05,ID,1595565265
biak,-0.91,122.88,81.86,70,68,8.81,ID,1595565265
cascais,38.7,-9.42,66.0,78,0,17.87,PT,1595565266
cidreira,-30.18,-50.21,65.01,81,94,7.74,BR,1595564850
coffs harbour,-30.3,153.13,62.6,88,90,6.93,AU,1595565266
oxford,51.75,-1.26,60.01,93,51,6.58,GB,1595565024
vila franca do campo,37.72,-25.43,60.8,82,40,4.7,PT,1595564811
salalah,17.02,54.09,80.6,83,75,9.17,OM,1595565402
manokwari,-0.87,134.08,85.06,63,48,5.08,ID,1595565267
mar del plata,-38.0,-57.56,53.01,100,75,12.75,AR,1595564815
tasiilaq,65.61,-37.64,35.6,93,99,6.93,GL,1595564806
buraydah,26.33,43.98,91.4,49,63,6.93,SA,1595564603
salcaja,14.88,-91.45,50.0,96,69,2.44,GT,1595565268
deputatskiy,69.3,139.9,82.54,23,38,5.75,RU,1595565268
olafsvik,64.89,-23.71,44.78,77,19,19.08,IS,1595564897
sola,-13.88,167.55,78.8,94,90,20.13,VU,1595564849
sesheke,-17.48,24.3,41.0,75,29,7.99,ZM,1595565269
dikson,73.51,80.55,43.63,88,0,4.12,RU,1595565404
katsuura,35.13,140.3,81.0,80,100,1.01,JP,1595564857
letpadan,17.78,95.75,89.47,61,8,4.03,MM,1595565270
faanui,-16.48,-151.75,77.45,81,16,21.07,PF,1595564867
sahuaripa,29.05,-109.23,78.26,72,94,4.32,MX,1595565271
georgetown,5.41,100.34,87.8,70,40,3.36,MY,1595565130
saskylakh,71.92,114.08,66.7,69,92,9.75,RU,1595565405
portland,45.52,-122.68,68.0,63,40,8.05,US,1595564810
chokurdakh,70.63,147.92,82.69,40,95,2.08,RU,1595565406
baruun-urt,46.68,113.28,86.63,32,96,1.12,MN,1595564837
petropavlovsk-kamchatskiy,53.05,158.65,66.2,59,40,13.42,RU,1595564666
mega,4.05,38.3,56.23,97,95,12.15,ET,1595565272
gamba,-2.65,10.0,70.61,84,54,1.32,GA,1595565272
ternovka,51.68,41.64,61.23,71,99,4.59,RU,1595565272
luderitz,-26.65,15.16,69.8,19,0,3.36,NA,1595564812
arkadelphia,34.12,-93.05,80.6,100,1,3.36,US,1595565273
shitanjing,39.23,106.34,82.13,39,43,9.64,CN,1595565273
port elizabeth,-33.92,25.57,44.6,81,0,2.24,ZA,1595565408
tura,25.52,90.22,80.94,85,99,6.46,IN,1595565408
mineral wells,32.81,-98.11,84.99,61,1,8.05,US,1595565274
gornopravdinsk,60.05,69.9,69.17,49,27,4.63,RU,1595565274
mastic beach,40.77,-72.85,77.0,83,75,3.15,US,1595565274
maltahohe,-24.83,16.98,40.33,65,0,6.76,NA,1595565274
visby,57.64,18.3,62.01,72,50,9.17,SE,1595565237
atuona,-9.8,-139.03,79.38,78,36,19.86,PF,1595565409
miandrivazo,-19.52,45.47,68.65,44,0,2.89,MG,1595565275
saint-leu,-21.15,55.28,68.0,60,90,28.86,RE,1595565275
champerico,14.3,-91.92,78.37,82,99,3.15,GT,1595564877
port-gentil,-0.72,8.78,75.45,75,62,8.93,GA,1595564826
ngunguru,-35.62,174.5,55.0,3,11,5.01,NZ,1595565276
port said,31.26,32.28,77.0,78,0,6.93,EG,1595565276
akdepe,42.06,59.38,84.2,48,0,4.7,TM,1595565276
aldan,58.6,125.39,65.68,82,100,3.96,RU,1595565276
pacific grove,36.62,-121.92,61.0,82,90,5.82,US,1595565277
dawson creek,55.77,-120.24,60.8,51,20,11.41,CA,1595565029
chardara,41.25,67.97,88.21,33,85,18.25,KZ,1595565277
tilichiki,60.47,166.1,67.51,53,100,9.55,RU,1595565277
kapaa,22.08,-159.32,80.6,74,40,13.87,US,1595565412
nioro,13.35,-15.75,76.87,91,100,10.25,GM,1595564885
vanimo,-2.67,141.3,87.01,62,22,8.66,PG,1595565278
partyzany,46.33,34.75,73.78,51,18,6.91,UA,1595565278
sydney,-33.87,151.21,66.99,59,40,11.41,AU,1595564661
hays,30.05,-98.03,84.0,64,16,4.23,US,1595565279
shangzhi,45.22,127.97,93.09,29,0,8.37,CN,1595564832
ancud,-41.87,-73.82,41.0,93,90,2.24,CL,1595564864
mitsamiouli,-11.38,43.28,75.78,68,16,15.82,KM,1595565279
ponta do sol,32.67,-17.1,73.4,49,20,24.16,PT,1595565414
preobrazheniye,42.9,133.91,68.58,77,100,7.02,RU,1595565280
banyo,6.75,11.82,62.71,93,97,2.42,CM,1595565280
tsybli,49.99,31.56,60.8,72,67,4.47,UA,1595565280
tres picos,15.87,-93.53,79.5,78,100,2.06,MX,1595565281
hofn,64.25,-15.21,46.8,61,47,12.41,IS,1595565281
aswan,24.09,32.91,85.28,21,28,8.55,EG,1595564838
araguaina,-7.19,-48.21,79.65,45,81,2.89,BR,1595565281
esil,51.96,66.4,69.39,60,64,9.26,KZ,1595565281
bikaner,28.02,73.3,86.02,68,68,17.81,IN,1595565282
sioux lookout,50.1,-91.92,68.0,60,40,5.82,CA,1595564863
cayenne,4.93,-52.33,75.2,100,100,4.63,GF,1595565363
parana,-31.73,-60.52,46.0,84,76,5.01,AR,1595565282
vestmannaeyjar,63.44,-20.27,50.13,83,79,10.69,IS,1595564833
carmen,18.63,-91.83,83.88,77,20,7.81,MX,1595565283
naze,28.37,129.48,87.8,79,75,18.34,JP,1595565417
bengkulu,-3.8,102.27,83.12,72,96,5.12,ID,1595565417
mehamn,71.04,27.85,51.8,100,90,2.24,NO,1595564866
laguna de duero,41.58,-4.72,62.01,87,57,9.17,ES,1595565284
pangnirtung,66.15,-65.71,48.65,80,76,2.33,CA,1595565417
nome,64.5,-165.41,50.0,76,90,11.41,US,1595564855
mount gambier,-37.83,140.77,57.2,58,100,12.75,AU,1595565418
kenai,60.55,-151.26,62.6,71,1,17.22,US,1595565284
lewistown,40.6,-77.57,75.2,100,40,4.7,US,1595565285
honiara,-9.43,159.95,89.6,62,20,16.11,SB,1595565285
port-cartier,50.03,-66.87,53.6,93,40,3.36,CA,1595565285
port hardy,50.7,-127.42,55.4,93,75,4.7,CA,1595565419
san pedro de macoris,18.46,-69.3,75.2,94,75,3.36,DO,1595565286
umm kaddadah,13.6,26.69,81.61,54,59,16.6,SD,1595565286
itapora,-22.08,-54.79,63.28,54,0,4.94,BR,1595565286
gold coast,-28.0,153.43,66.0,88,75,9.17,AU,1595565224
wamba,8.93,8.6,70.63,96,100,3.02,NG,1595565286
mackenzie,55.3,-123.17,51.8,93,90,4.7,CA,1595565287
sakakah,29.97,40.21,89.6,19,0,11.41,SA,1595564823
coihaique,-45.58,-72.07,15.8,92,7,2.24,CL,1595564851
kieta,-6.22,155.63,85.06,68,97,5.77,PG,1595565421
kuminskiy,58.67,66.57,68.09,47,21,6.55,RU,1595565287
coquimbo,-29.95,-71.34,52.09,71,36,3.67,CL,1595565288
palauig,15.44,119.9,86.13,70,88,6.69,PH,1595565288
soma,39.19,27.61,75.2,82,5,4.7,TR,1595565288
wajir,1.75,40.06,75.2,64,75,4.7,KE,1595565289
codrington,-38.27,141.97,55.13,68,100,11.32,AU,1595565423
ribas do rio pardo,-20.44,-53.76,63.64,51,0,2.98,BR,1595565289
lavrentiya,65.58,-171.0,56.1,63,100,7.34,RU,1595565289
funadhoo,6.15,73.27,81.34,78,100,19.48,MV,1595565290
bandar,2.05,99.75,83.8,68,100,0.78,ID,1595565290
pisco,-13.7,-76.22,60.8,82,0,6.93,PE,1595565424
changde,29.05,111.68,75.99,83,100,15.01,CN,1595565291
xique-xique,-10.82,-42.73,71.42,64,40,19.51,BR,1595565291
okha,53.57,142.95,57.92,62,100,8.43,RU,1595565123
chumikan,54.72,135.31,59.56,70,0,8.66,RU,1595565425
ayan,56.45,138.17,57.65,73,75,16.24,RU,1595565291
kuito,-12.38,16.93,42.82,63,0,3.62,AO,1595565292
vaitape,-16.52,-151.75,78.06,79,14,21.79,PF,1595565292
coahuayana,18.73,-103.68,76.48,88,100,1.92,MX,1595565292
poum,-20.23,164.02,74.37,73,0,14.32,NC,1595564834
ugoofaaru,5.67,73.0,80.22,80,100,17.47,MV,1595565293
demir kapija,41.41,22.25,73.47,59,2,0.96,MK,1595565293
comodoro rivadavia,-45.87,-67.5,32.0,74,0,10.29,AR,1595565426
ko samui,9.54,99.94,89.6,70,20,8.05,TH,1595565294
huarmey,-10.07,-78.15,60.73,88,69,6.35,PE,1595565294
yar-sale,66.83,70.83,61.41,55,10,12.53,RU,1595565184
varna,43.22,27.92,66.2,100,20,2.24,BG,1595565187
karatau,43.17,70.47,87.13,28,99,8.5,KZ,1595565294
bozdar,27.18,68.64,93.2,63,0,9.17,PK,1595565295
roald,62.58,6.13,51.8,76,5,13.87,NO,1595565428
alofi,-19.06,-169.92,75.2,94,57,13.87,NU,1595565230
