Cities,City Latitude,City Longitude,Max Temperature,Humidity,Cloud Coverage,Wind Speed,City Country,City datetime
kavieng,-2.57,150.8,84.07,72,100,7.61,PG,1595564843
husavik,66.04,-17.34,44.6,81,90,10.29,IS,1595565428
anloga,5.79,0.9,75.2,88,40,10.29,GH,1595565296
nhulunbuy,-12.23,136.77,82.4,61,40,13.87,AU,1595565296
batavia,41.85,-88.31,70.0,88,1,3.36,US,1595565211
sampit,-2.53,112.95,84.54,75,42,5.46,ID,1595565296
latung,5.5,120.88,84.25,68,86,6.98,PH,1595565296
itoman,26.12,127.67,87.8,79,75,11.41,JP,1595565297
charters towers,-20.1,146.27,74.61,45,3,4.72,AU,1595565297
dingle,11.0,122.67,87.91,66,100,3.36,PH,1595565430
saint-joseph,-21.37,55.62,68.0,60,90,28.86,RE,1595565297
the pas,53.83,-101.25,75.2,83,90,10.29,CA,1595565297
kawalu,-7.38,108.21,79.86,64,100,5.03,ID,1595565430
okhotsk,59.38,143.3,64.11,68,100,11.88,RU,1595564859
harlingen,26.19,-97.7,82.0,83,1,4.99,US,1595565298
baculin,7.45,126.58,84.51,71,83,5.61,PH,1595565298
iqaluit,63.75,-68.51,53.6,62,75,3.36,CA,1595565166
talara,-4.58,-81.27,64.13,81,4,18.34,PE,1595565299
upernavik,72.79,-56.15,44.65,79,62,7.61,GL,1595565432
windsor,42.3,-83.02,71.01,72,1,8.05,CA,1595565230
saint-augustin,51.23,-58.65,60.58,69,95,5.1,CA,1595565432
lorengau,-2.02,147.27,85.14,74,76,9.08,PG,1595565300
halifax,44.65,-63.57,69.01,94,100,3.04,CA,1595565115
rio grande,-32.03,-52.1,66.99,86,100,12.1,BR,1595564855
rawson,-43.3,-65.1,36.72,76,81,8.88,AR,1595564865
chaplynka,46.37,33.54,72.34,39,16,4.7,UA,1595565301
yeppoon,-23.13,150.73,73.4,53,20,9.17,AU,1595565301
tabou,4.42,-7.35,73.99,90,100,6.93,CI,1595565301
qasigiannguit,68.82,-51.19,51.8,62,98,2.24,GL,1595565301
broken hill,-31.95,141.43,66.2,37,75,10.29,AU,1595564885
mecca,21.43,39.83,85.78,56,52,2.15,SA,1595565302
alyangula,-13.85,136.42,86.0,42,40,12.75,AU,1595565302
cockburn town,21.46,-71.14,83.23,78,9,22.1,TC,1595565302
hamilton,39.18,-84.53,73.4,94,75,1.72,US,1595565221
leshukonskoye,64.9,45.76,72.48,56,70,9.78,RU,1595565183
mudgee,-32.59,149.59,62.6,42,0,8.05,AU,1595565087
gijon,43.54,-5.66,64.4,88,75,5.82,ES,1595565303
opuwo,-18.06,13.84,48.54,48,0,8.55,NA,1595565303
tutoia,-2.76,-42.27,77.63,78,100,9.42,BR,1595565304
beloha,-25.17,45.05,62.29,71,0,15.14,MG,1595565304
zyryanka,65.75,150.85,89.08,24,0,7.09,RU,1595565304
conceicao da barra,-18.59,-39.73,70.79,90,38,5.7,BR,1595565304
darhan,49.49,105.92,74.86,50,65,3.51,MN,1595565304
te anau,-45.42,167.72,40.42,84,85,5.32,NZ,1595565437
hualmay,-11.1,-77.61,60.71,86,87,7.99,PE,1595564897
russell,32.35,-85.2,75.2,88,40,4.61,US,1595565437
san patricio,19.22,-104.7,77.54,81,100,0.58,MX,1595565438
trincomalee,8.57,81.23,86.67,65,69,15.59,LK,1595565438
dudinka,69.41,86.18,51.8,71,52,26.84,RU,1595565306
padang,-0.95,100.35,86.0,74,20,3.36,ID,1595564840
choix,26.71,-108.32,77.92,80,96,3.4,MX,1595565306
hambantota,6.12,81.12,78.8,88,40,12.75,LK,1595565439
half moon bay,37.46,-122.43,62.6,93,90,4.7,US,1595564832
luau,-10.71,22.22,48.76,60,0,4.76,AO,1595565440
provideniya,64.38,-173.3,53.6,66,90,6.71,RU,1595565440
meulaboh,4.14,96.13,84.67,65,72,3.0,ID,1595565440
xining,36.62,101.77,66.99,67,98,3.65,CN,1595565080
lompoc,34.64,-120.46,60.8,77,20,6.93,US,1595564800
bossangoa,6.49,17.46,67.91,93,92,1.88,CF,1595565308
bardiyah,31.76,25.09,73.38,75,0,5.66,LY,1595565308
moose factory,51.26,-80.61,66.2,82,1,6.93,CA,1595564894
henderson,36.04,-114.98,93.99,14,1,10.29,US,1595565309
thunder bay,48.4,-89.32,57.2,93,20,2.24,CA,1595565309
kautokeino,69.01,23.04,55.02,93,100,10.58,NO,1595565309
erenhot,43.65,111.98,92.46,21,29,15.05,CN,1595565310
guasdualito,7.24,-70.73,72.81,97,95,2.53,VE,1595565310
matay,28.42,30.78,77.43,61,0,8.41,EG,1595565310
puerto baquerizo moreno,-0.9,-89.6,68.41,89,99,12.01,EC,1595565310
worland,44.02,-107.96,81.0,46,1,3.36,US,1595565311
turek,52.02,18.5,55.99,88,13,1.01,PL,1595565311
koungheul,13.98,-14.8,78.03,90,100,7.34,SN,1595565311
lagoa do itaenga,-7.94,-35.29,73.4,83,75,4.7,BR,1595565311
kandava,57.04,22.77,57.27,73,53,9.08,LV,1595565312
nkhata bay,-11.61,34.29,64.24,76,73,11.41,MW,1595565312
faya,18.39,42.45,69.8,82,47,4.7,SA,1595565445
sao miguel,-5.47,-35.37,73.4,94,54,6.93,BR,1595565312
buenos aires,-34.61,-58.38,50.0,81,75,13.87,AR,1595565151
scarborough,54.28,-0.4,54.0,88,23,7.0,GB,1595565025
kailua,21.4,-157.74,82.4,61,75,12.75,US,1595564885
nishihara,26.18,127.76,89.6,70,75,11.41,JP,1595565313
ikom,5.97,8.71,71.89,97,99,1.23,NG,1595565313
diebougou,10.97,-3.25,71.67,93,14,5.66,BF,1595565314
cuamba,-14.8,36.54,56.68,85,61,7.25,MZ,1595565446
bathsheba,13.22,-59.52,78.8,88,75,14.99,BB,1595565447
kristiansund,63.11,7.73,50.0,81,47,5.82,NO,1595565314
bonaventure,48.05,-65.49,64.4,93,90,2.24,CA,1595565314
sitka,57.05,-135.33,57.2,87,40,3.36,US,1595565447
puerto colombia,10.99,-74.95,82.4,83,40,9.17,CO,1595564876
guerrero negro,27.98,-114.06,64.71,87,0,12.64,MX,1595565448
machico,32.7,-16.77,73.4,49,20,24.16,PT,1595565315
barcelona,41.39,2.16,79.0,73,34,4.7,ES,1595565034
muravlenko,63.79,74.52,59.76,49,8,13.2,RU,1595565307
mogadishu,2.04,45.34,78.8,65,75,18.34,SO,1595565176
dawei,14.08,98.2,88.23,65,91,5.37,MM,1595565316
urupes,-21.2,-49.29,66.2,48,0,7.02,BR,1595565316
nikolayevsk-na-amure,53.14,140.73,66.79,43,67,6.11,RU,1595565306
morondava,-20.28,44.28,69.69,55,0,10.42,MG,1595565449
bridlington,54.08,-0.19,55.4,93,12,9.17,GB,1595565283
shebunino,46.43,141.86,56.91,87,100,4.09,RU,1595565317
damghan,36.17,54.35,85.15,30,45,5.1,IR,1595565317
colares,38.8,-9.45,66.0,78,0,19.33,PT,1595565318
bhatkal,13.97,74.57,82.71,71,100,9.28,IN,1595565318
canyon,34.98,-101.92,75.0,76,100,8.99,US,1595565066
san felipe,10.34,-68.74,71.58,93,64,0.13,VE,1595565318
udachnyy,66.42,112.4,66.2,52,75,8.84,RU,1595565095
aklavik,68.22,-135.01,62.6,45,20,11.41,CA,1595565451
black river,18.03,-77.85,82.4,74,20,5.82,JM,1595565319
gimli,50.63,-96.99,71.01,99,73,5.01,CA,1595565319
oranjemund,-28.55,16.43,66.49,26,0,12.06,NA,1595565319
polovinnoye,54.79,65.99,65.08,82,93,17.67,RU,1595565319
itapirapua,-15.82,-50.61,65.16,45,0,4.81,BR,1595565320
yulara,-25.24,130.99,69.8,24,0,9.17,AU,1595565452
nkayi,-4.18,13.29,67.1,78,1,2.06,CG,1595565320
uruzgan,32.83,66.0,86.92,12,0,0.31,AF,1595565321
makakilo city,21.35,-158.09,84.2,51,1,15.12,US,1595565321
urumqi,43.8,87.6,87.8,23,0,2.24,CN,1595565321
havre-saint-pierre,50.23,-63.6,53.6,87,75,4.7,CA,1595565321
nouadhibou,20.93,-17.03,75.2,78,13,6.93,MR,1595565454
aban,56.67,96.06,66.94,46,23,10.09,RU,1595565322
arman,59.7,150.17,64.13,61,38,7.23,RU,1595565322
shemonaikha,50.63,81.91,78.53,37,91,6.02,KZ,1595565232
barra,-11.09,-43.14,71.15,63,69,11.72,BR,1595565322
panzhihua,26.59,101.71,79.0,58,99,3.29,CN,1595565323
rio gallegos,-51.62,-69.22,37.4,69,75,12.75,AR,1595565323
the valley,18.22,-63.06,82.4,83,40,12.75,AI,1595565340
havoysund,71.0,24.66,50.0,100,90,2.24,NO,1595565323
pachperwa,27.52,82.65,78.6,87,100,8.39,IN,1595565324
longonjo,-12.91,15.25,46.58,54,0,4.07,AO,1595565324
tabas,33.6,56.92,95.0,15,0,4.7,IR,1595565324
andenes,69.31,16.12,50.0,93,75,11.41,NO,1595565324
lucapa,-8.42,20.74,56.53,44,0,5.46,AO,1595565325
asau,46.43,26.4,63.0,100,45,3.36,RO,1595564872
tuatapere,-46.13,167.68,45.73,72,77,10.6,NZ,1595564803
tubinskiy,52.89,58.22,60.8,93,90,15.66,RU,1595565325
santa rita,-7.11,-34.98,69.8,91,17,7.49,BR,1595565325
la rioja,42.25,-2.5,62.6,72,62,8.05,ES,1595565326
pizarro,4.95,-77.37,76.19,89,100,4.54,CO,1595565326
bibiani,6.46,-2.32,66.74,100,72,1.97,GH,1595565326
bestobe,52.5,73.1,77.76,42,96,12.1,KZ,1595565326
klaksvik,62.23,-6.59,50.0,100,100,13.87,FO,1595564883
nakambala,-15.83,27.78,47.57,84,1,7.76,ZM,1595565327
marrakesh,31.63,-8.01,73.4,73,0,5.82,MA,1595565118
acajutla,13.59,-89.83,70.0,96,90,5.57,SV,1595565328
magadan,59.57,150.8,62.42,66,12,9.42,RU,1595565328
jizan,17.33,42.67,84.2,79,40,11.41,SA,1595565328
krasnovishersk,60.41,57.08,67.98,39,0,8.16,RU,1595565459
ekhabi,53.51,142.97,58.48,59,100,8.3,RU,1595565329
zhigansk,66.77,123.37,70.77,55,37,15.68,RU,1595565329
bermeo,43.42,-2.72,68.0,88,40,3.36,ES,1595565329
takaungu,-3.68,39.86,80.6,61,20,8.05,KE,1595565329
tukrah,32.53,20.58,75.67,79,2,2.77,LY,1595565330
aitape,-3.14,142.35,85.42,73,45,8.46,PG,1595565330
beringovskiy,63.05,179.32,54.3,62,93,8.23,RU,1595565330
marawi,8.0,124.29,84.0,81,69,8.01,PH,1595565330
vao,-22.67,167.48,69.94,80,28,19.57,NC,1595565330
javanrud,34.8,46.52,73.4,27,0,3.47,IR,1595565331
amuntai,-2.42,115.25,83.64,82,56,1.9,ID,1595565280
jhang,33.67,72.7,91.4,63,40,11.41,PK,1595565331
dongli,23.57,116.82,95.0,47,20,4.47,CN,1595565331
tiruchchendur,8.48,78.12,86.0,66,75,9.17,IN,1595565332
xuchang,34.02,113.82,84.2,58,98,2.24,CN,1595565332
wawa,9.9,4.42,71.91,95,85,7.4,NG,1595565332
ballina,-28.87,153.57,64.4,82,75,8.05,AU,1595565463
montlucon,46.33,2.6,63.0,78,21,3.87,FR,1595565333
flinders,-34.58,150.86,68.0,61,0,7.0,AU,1595565463
samarai,-10.62,150.67,79.39,84,55,14.03,PG,1595565333
tommot,58.96,126.29,63.48,90,100,1.45,RU,1595565333
mahibadhoo,3.78,72.97,81.73,76,98,10.33,MV,1595565334
suwannaphum,15.6,103.8,86.0,79,75,8.05,TH,1595565334
gizo,-8.1,156.84,83.73,78,76,14.05,SB,1595565334
trairi,-3.28,-39.27,77.31,82,96,10.11,BR,1595564901
kununurra,-15.77,128.73,84.2,20,0,12.75,AU,1595564878
inhambane,-23.86,35.38,62.6,88,40,6.93,MZ,1595565335
kahului,20.89,-156.47,84.2,51,40,18.34,US,1595565465
filingue,14.35,3.32,81.43,68,100,11.97,NE,1595565335
senekal,-28.32,27.62,36.05,67,0,6.8,ZA,1595565336
pitimbu,-7.47,-34.81,74.37,82,30,14.2,BR,1595565336
fastiv,50.08,29.92,63.0,72,0,2.24,UA,1595565336
chicama,-7.84,-79.15,60.64,85,22,5.35,PE,1595565337
necochea,-38.55,-58.74,46.0,30,96,11.99,AR,1595565466
eunice,30.49,-92.42,80.6,83,1,8.05,US,1595565337
fort nelson,58.81,-122.7,66.2,59,75,2.24,CA,1595565467
khatanga,71.97,102.5,44.29,89,100,16.51,RU,1595565467
kisangani,0.52,25.2,70.52,93,0,1.77,CD,1595565338
san cristobal,7.77,-72.22,64.18,91,91,3.0,VE,1595564872
dunedin,-45.87,170.5,48.99,49,80,7.0,NZ,1595565468
samandag,36.08,35.98,80.6,74,5,12.75,TR,1595565338
pangai,-19.8,-174.35,77.0,78,75,16.11,TO,1595564888
skaudvile,55.42,22.62,54.81,85,54,11.72,LT,1595565339
frederick,39.47,-77.4,73.4,94,75,6.13,US,1595565305
calama,-22.47,-68.93,35.6,24,0,3.36,CL,1595565469
grindavik,63.84,-22.43,46.4,87,67,12.75,IS,1595565339
oliveira dos brejinhos,-12.32,-42.9,64.74,74,71,8.1,BR,1595565340
landazuri,6.22,-73.81,65.23,98,100,1.34,CO,1595565340
boddam,57.47,-1.78,53.6,87,75,9.17,GB,1595565470
paita,-5.09,-81.11,62.6,84,12,12.35,PE,1595565340
cerritos,33.86,-118.06,66.2,72,1,4.7,US,1595565043
progreso,21.28,-89.67,79.0,94,75,4.7,MX,1595565341
dickinson,29.46,-95.05,84.2,74,40,10.29,US,1595565211
nagapattinam,10.77,79.83,88.5,63,99,17.22,IN,1595565341
victoria point,-27.58,153.3,66.99,83,99,4.0,AU,1595565342
adrar,20.5,-10.07,91.04,32,0,10.78,MR,1595565342
kletskaya,49.31,43.06,64.99,61,22,1.99,RU,1595565342
fremont,37.55,-121.99,64.99,77,75,6.93,US,1595565342
smithers,54.78,-127.17,53.6,81,90,4.7,CA,1595564899
saint-pierre,-21.34,55.48,68.0,60,90,28.86,RE,1595565343
luganville,-15.53,167.17,77.0,100,90,8.05,VU,1595565343
paysandu,-32.32,-58.08,48.0,97,100,3.0,UY,1595565343
ilembula,-8.9,34.58,56.17,63,2,12.24,TZ,1595565344
motygino,58.18,94.76,65.03,44,38,10.25,RU,1595565344
gat,31.61,34.76,75.99,61,4,7.14,IL,1595565473
aliwal north,-30.69,26.71,36.14,76,0,1.05,ZA,1595565344
mazagao,-0.12,-51.29,78.8,100,40,3.36,BR,1595565345
togur,58.36,82.83,68.41,58,1,5.86,RU,1595565345
shakawe,-18.37,21.85,42.67,62,0,5.59,BW,1595565345
belyy yar,53.6,91.39,68.0,52,75,4.47,RU,1595565345
saldanha,-33.01,17.94,48.2,70,0,1.12,ZA,1595565474
gulu,2.77,32.3,63.52,96,94,1.99,UG,1595565346
prado,-17.34,-39.22,71.37,89,83,8.34,BR,1595565346
ostrovnoy,68.05,39.51,63.91,75,99,15.14,RU,1595565475
sorong,-0.88,131.25,82.51,79,40,7.34,ID,1595565347
saint-francois,46.42,3.91,61.0,67,58,3.33,FR,1595565476
kiama,-34.68,150.87,68.0,68,0,11.99,AU,1595565476
fethiye,36.62,29.12,71.6,83,0,4.7,TR,1595565319
vanavara,60.34,102.28,52.27,92,100,3.51,RU,1595565348
lebyazhye,55.27,66.49,60.15,82,100,15.23,RU,1595565348
sao felix do xingu,-6.64,-51.99,71.37,64,58,1.45,BR,1595565349
prainha,-1.8,-53.48,74.97,85,100,2.89,BR,1595565349
namwala,-15.75,26.44,43.32,88,0,5.17,ZM,1595565349
maniitsoq,65.42,-52.9,47.59,87,100,1.03,GL,1595565350
makasar,-5.14,119.42,89.6,46,20,3.36,ID,1595565350
abu samrah,35.3,37.18,80.26,48,0,7.85,SY,1595565478
olga,43.74,135.29,69.01,75,98,4.07,RU,1595565123
shirvan,39.95,48.9,83.79,44,15,4.18,AZ,1595565351
borgosesia,45.71,8.28,70.0,92,27,4.85,IT,1595565352
fairview,40.81,-74.0,82.4,74,75,5.3,US,1595565350
harper,4.38,-7.72,74.16,89,96,6.96,LR,1595565352
torrijos,39.98,-4.28,77.0,44,0,2.24,ES,1595565352
les cayes,18.2,-73.75,79.14,79,72,3.22,HT,1595565353
rudnogorsk,57.26,103.75,73.31,49,45,7.52,RU,1595565353
bandarbeyla,9.49,50.81,80.49,55,70,28.95,SO,1595565480
la asuncion,11.03,-63.86,78.8,94,72,10.29,VE,1595565354
guapore,-28.85,-51.89,63.0,59,45,3.4,BR,1595565354
moctezuma,29.8,-109.67,77.81,72,100,5.53,MX,1595565354
taonan,45.33,122.78,99.64,21,32,4.9,CN,1595565355
ornskoldsvik,63.29,18.72,50.0,93,100,8.05,SE,1595565355
vardo,70.37,31.11,62.6,77,45,4.7,NO,1595565482
ternate,0.8,127.4,83.62,72,60,7.14,ID,1595565234
coquimatlan,19.2,-103.8,73.54,90,100,0.54,MX,1595565355
prince rupert,54.32,-130.32,53.6,100,90,3.36,CA,1595565356
tsevie,6.43,1.21,75.2,88,40,10.29,TG,1595565356
murchison,-41.8,172.33,42.12,83,94,2.42,NZ,1595565356
shediac,46.22,-64.54,66.99,100,90,3.47,CA,1595565357
whitianga,-36.83,175.7,55.0,74,45,4.0,NZ,1595565357
lincoln,40.8,-96.67,81.0,78,1,10.29,US,1595565211
chernyshkovskiy,48.42,42.23,68.4,51,19,4.88,RU,1595565358
plainview,40.78,-73.47,80.6,69,40,10.29,US,1595565358
banposh,22.25,84.8,87.58,64,100,3.65,IN,1595565359
skjervoy,70.03,20.97,49.89,90,90,2.28,NO,1595565359
matina,10.08,-83.29,76.82,84,90,1.52,CR,1595565359
leh,34.17,77.58,66.42,22,0,3.2,IN,1595565484
manati,18.43,-66.49,77.0,78,26,8.01,PR,1595565222
morro bay,35.37,-120.85,59.0,83,19,1.01,US,1595565360
aconibe,1.3,10.94,66.52,91,78,3.04,GQ,1595565360
gelibolu,40.41,26.67,71.6,83,20,13.87,TR,1595565360
lahij,13.17,44.58,84.27,60,0,2.66,YE,1595565361
bukama,-9.2,25.85,59.77,46,0,2.82,CD,1595565361
koumac,-20.57,164.28,75.63,67,11,9.24,NC,1595565486
porto nacional,-10.71,-48.42,71.6,73,50,3.36,BR,1595565362
hunucma,21.02,-89.87,79.0,94,75,4.7,MX,1595565362
khilok,51.37,110.47,74.34,51,99,4.74,RU,1595565362
chimoio,-19.12,33.48,57.2,100,75,10.8,MZ,1595565362
villacarrillo,38.12,-3.08,70.03,52,1,0.16,ES,1595565362
jacksonville,30.33,-81.66,78.8,78,20,4.7,US,1595565340
mujiayingzi,42.12,118.78,91.04,24,0,4.7,CN,1595565363
kudahuvadhoo,2.67,72.89,82.92,72,99,8.57,MV,1595565487
lethem,3.38,-59.8,74.79,87,61,4.72,GY,1595565363
mayor pablo lagerenza,-19.93,-60.77,63.16,59,1,9.15,PY,1595565364
itarema,-2.92,-39.92,75.31,89,100,10.63,BR,1595565488
caravelas,-17.71,-39.25,70.34,91,72,6.85,BR,1595565488
nantucket,41.28,-70.1,72.0,94,90,11.41,US,1595565293
big spring,32.25,-101.48,78.8,74,1,14.99,US,1595565364
tetelzingo,19.07,-97.15,50.85,100,68,0.27,MX,1595565364
broome,42.25,-75.83,70.0,94,75,3.36,US,1595564891
guarda,40.54,-7.27,61.0,94,0,1.01,PT,1595565365
port blair,11.67,92.75,86.0,66,75,4.7,IN,1595565365
tazovskiy,67.47,78.7,53.94,59,72,16.93,RU,1595565365
lafayette,30.23,-92.07,81.0,78,1,5.82,US,1595565122
farah,32.5,62.5,95.29,10,0,6.93,AF,1595565366
yablonovo,50.85,37.36,59.0,67,69,2.89,RU,1595565366
touros,-5.2,-35.46,71.6,94,17,6.93,BR,1595565490
sinnamary,5.38,-52.95,76.57,86,98,5.99,GF,1595565491
hudiksvall,61.73,17.1,50.16,89,100,13.27,SE,1595565367
lahaina,20.88,-156.68,82.0,61,75,18.34,US,1595565367
